best_makespan, current_makespan, current_temp, equal_count, first_op_moved, heuristic, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, prob_acceptance, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, times_moved, violates_constraint, worst_makespan, 
, , , , , , , 100, , , 10.0, 4.5, , , 20, 15, 15.0, , , , , , , 0.9, , , , 
3365, 3365, 10.0, 0, False, P_AND_S, 0, 100, False, 0, 10.0, 4.5, left, , 20, 15, 15.0, 48.0, , 12, 1, True, 12, 0.9, , True, 3365, 
3365, 3476, 10.0, 0, False, P_AND_S, 1, 100, False, 0, 10.0, 4.5, left, , 20, 15, 15.0, 97.0, 1.5112323819855033e-05, 3, 1, False, 8, 0.9, , False, 3476, 
3365, 3365, 10.0, 0, False, P_AND_S, 2, 100, False, 0, 10.0, 4.5, left, , 20, 15, 15.0, 40.0, , 10, 1, True, 3, 0.9, , False, 3476, 
3365, 3365, 10.0, 0, False, P_AND_S, 3, 100, False, 0, 10.0, 4.5, right, , 20, 15, 15.0, 29.0, , 11, 1, True, 14, 0.9, , False, 3476, 
3365, 3365, 10.0, 0, False, P_AND_S, 4, 100, False, 0, 10.0, 4.5, right, , 20, 15, 15.0, 20.0, , 4, 1, True, 15, 0.9, , True, 3476, 
3365, 3408, 10.0, 0, False, P_AND_S, 5, 100, False, 1, 10.0, 4.5, left, , 20, 15, 15.0, 17.0, 0.013568559012200934, 12, 0, False, 17, 0.9, , False, 3476, 
3365, 3365, 10.0, 0, False, P_AND_S, 6, 100, False, 0, 10.0, 4.5, right, , 20, 15, 15.0, 82.0, , 8, 1, True, 2, 0.9, , True, 3476, 
3365, 3365, 10.0, 0, False, P_AND_S, 7, 100, False, 1, 10.0, 4.5, left, , 20, 15, 15.0, 5.0, , 12, 0, True, 3, 0.9, , True, 3476, 
3365, 3661, 10.0, 0, False, P_AND_S, 8, 100, False, 1, 10.0, 4.5, left, , 20, 15, 15.0, 29.0, 1.3959933056130979e-13, 14, 0, False, 18, 0.9, , False, 3661, 
