best_makespan, current_makespan, current_temp, equal_count, first_op_moved, heuristic, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, prob_acceptance, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, times_moved, violates_constraint, worst_makespan, 
6371, 6371, 10.0, 1, False, P_AND_S, 32, 100, False, 0, 10.0, 4.5, right, , 50, 20, 20.0, 56.0, , 3, 0, True, 38, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, True, P_AND_S, 33, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 33.0, , 9, 0, True, 0, 0.9, , False, 6686, 
6371, 6404, 10.0, 0, False, P_AND_S, 34, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 18.0, 0.036883167401240015, 7, 0, False, 44, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, P_AND_S, 35, 100, False, 1, 10.0, 4.5, left, 2, 50, 20, 20.0, 50.0, , 4, 1, True, 27, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 36, 100, False, 0, 10.0, 4.5, left, 2, 50, 20, 20.0, 8.0, , 18, 2, True, 7, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 37, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 82.0, , 10, 1, True, 41, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 38, 100, False, 2, 10.0, 4.5, left, 2, 50, 20, 20.0, 64.0, , 12, 0, True, 9, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 39, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 54.0, , 4, 0, True, 2, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 40, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 45.0, , 8, 1, True, 18, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 41, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 41.0, , 5, 0, True, 1, 0.9, , False, 6686, 
6371, 6439, 10.0, 0, False, D_EXCHANGE, 42, 100, False, 0, 10.0, 4.5, left, 2, 50, 20, 20.0, 43.0, 0.0011137751478448032, 19, 2, False, 41, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 43, 100, False, 2, 10.0, 4.5, left, 2, 50, 20, 20.0, 68.0, , 3, 0, True, 46, 0.9, , False, 6686, 
6371, 6371, 10.0, 0, False, D_EXCHANGE, 44, 100, False, 1, 10.0, 4.5, left, 2, 50, 20, 20.0, 6.0, , 9, 1, True, 7, 0.9, , False, 6686, 
6371, 6455, 10.0, 0, False, D_EXCHANGE, 45, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 14.0, 0.0002248673241788482, 14, 1, False, 28, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, D_EXCHANGE, 46, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 17.0, 0.4965853037914095, 3, 0, True, 41, 0.9, , False, 6686, 
6371, 6505, 10.0, 0, False, D_EXCHANGE, 47, 100, False, 2, 10.0, 4.5, left, 2, 50, 20, 20.0, 9.0, 3.0511255580364225e-06, 12, 0, False, 48, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, D_EXCHANGE, 48, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 60.0, , 14, 1, True, 38, 0.9, , False, 6686, 
6371, 6454, 10.0, 0, True, D_EXCHANGE, 49, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 75.0, 0.0005004514334406108, 18, 1, False, 0, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, D_EXCHANGE, 50, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 1.0, , 9, 0, True, 14, 0.9, , False, 6686, 
6371, 6664, 10.0, 0, False, P_AND_S, 51, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 89.0, 3.794703235298559e-13, 10, 1, False, 47, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 52, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 13.0, , 12, 0, True, 40, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 53, 100, False, 0, 10.0, 4.5, right, , 50, 20, 20.0, 54.0, , 9, 1, True, 22, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 54, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 45.0, , 8, 1, True, 10, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 55, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 46.0, , 6, 0, True, 1, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 56, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 42.0, , 15, 1, True, 10, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 57, 100, False, 0, 10.0, 4.5, right, , 50, 20, 20.0, 80.0, , 5, 1, True, 25, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 58, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 26.0, , 7, 0, True, 23, 0.9, , True, 6686, 
6371, 6613, 10.0, 0, False, P_AND_S, 59, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 95.0, 6.224144622907783e-11, 6, 1, False, 40, 0.9, , False, 6686, 
6371, 6445, 10.0, 0, False, P_AND_S, 60, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 38.0, 0.001230911902673481, 15, 0, False, 43, 0.9, , False, 6686, 
6371, 6450, 10.0, 0, False, P_AND_S, 61, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 35.0, 0.0007465858083766792, 12, 0, False, 43, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 62, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 17.0, , 10, 0, True, 11, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 63, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 17.0, , 10, 0, True, 9, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 64, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 10.0, , 11, 0, True, 45, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, P_AND_S, 65, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 98.0, , 2, 1, True, 36, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, D_EXCHANGE, 66, 100, False, 0, 10.0, 4.5, left, 2, 50, 20, 20.0, 58.0, , 9, 2, True, 30, 0.9, , False, 6686, 
6371, 6490, 10.0, 0, False, D_EXCHANGE, 67, 100, False, 2, 10.0, 4.5, left, 2, 50, 20, 20.0, 10.0, 1.3674196065680964e-05, 5, 0, False, 47, 0.9, , False, 6686, 
6371, 6378, 10.0, 0, False, D_EXCHANGE, 68, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 94.0, , 8, 1, True, 36, 0.9, , False, 6686, 
6371, 6400, 10.0, 0, False, D_EXCHANGE, 69, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 76.0, 0.11080315836233387, 9, 0, False, 42, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 70, 100, False, 0, 10.0, 4.5, right, 2, 50, 20, 20.0, 99.0, , 4, 2, True, 41, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 71, 100, False, 0, 10.0, 4.5, right, 2, 50, 20, 20.0, 58.0, , 1, 2, True, 26, 0.9, , False, 6686, 
6371, 6503, 10.0, 0, False, D_EXCHANGE, 72, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 65.0, 3.0511255580364225e-06, 17, 0, False, 43, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 73, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 4.0, , 5, 0, True, 36, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 74, 100, False, 1, 10.0, 4.5, left, 2, 50, 20, 20.0, 50.0, , 16, 1, True, 31, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 75, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 11.0, , 2, 1, True, 36, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 76, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 52.0, , 7, 1, True, 13, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 77, 100, False, 2, 10.0, 4.5, left, 2, 50, 20, 20.0, 55.0, , 10, 0, True, 10, 0.9, , False, 6686, 
6371, 6452, 10.0, 0, False, D_EXCHANGE, 78, 100, False, 0, 10.0, 4.5, right, 2, 50, 20, 20.0, 89.0, 0.0005004514334406108, 9, 2, False, 45, 0.9, , False, 6686, 
6371, 6437, 10.0, 0, False, D_EXCHANGE, 79, 100, False, 1, 10.0, 4.5, left, 2, 50, 20, 20.0, 77.0, 0.0022428677194858034, 9, 1, False, 25, 0.9, , False, 6686, 
6371, 6465, 10.0, 0, False, D_EXCHANGE, 80, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 24.0, 0.0001363889264820114, 19, 0, False, 43, 0.9, , False, 6686, 
6371, 6429, 10.0, 0, False, P_AND_S, 81, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 9.0, 0.004991593906910217, 11, 0, False, 44, 0.9, , False, 6686, 
