 > iteration=137, temp=8.1, curr= 21, best=16
 > iteration=138, temp=8.1, curr= 21, best=16
 > iteration=139, temp=8.1, curr= 20, best=16
 > iteration=140, temp=8.1, curr= 16, best=16
 > iteration=141, temp=8.1, curr= 20, best=16
 > iteration=142, temp=8.1, curr= 21, best=16
 > iteration=143, temp=8.1, curr= 20, best=16
 > iteration=144, temp=8.1, curr= 20, best=16
 > iteration=145, temp=8.1, curr= 20, best=16
 > iteration=146, temp=8.1, curr= 21, best=16
 > iteration=147, temp=8.1, curr= 21, best=16
 > iteration=148, temp=8.1, curr= 21, best=16
 > iteration=149, temp=8.1, curr= 21, best=16
 > iteration=150, temp=8.1, curr= 20, best=16
 > iteration=151, temp=7.29, curr= 21, best=16
 > iteration=152, temp=7.29, curr= 21, best=16
 > iteration=153, temp=7.29, curr= 21, best=16
 > iteration=154, temp=7.29, curr= 21, best=16
 > iteration=155, temp=7.29, curr= 21, best=16
 > iteration=156, temp=7.29, curr= 21, best=16
 > iteration=157, temp=7.29, curr= 21, best=16
 > iteration=158, temp=7.29, curr= 21, best=16
 > iteration=159, temp=7.29, curr= 21, best=16
 > iteration=160, temp=7.29, curr= 21, best=16
 > iteration=161, temp=7.29, curr= 16, best=16
 > iteration=162, temp=7.29, curr= 16, best=16
 > iteration=163, temp=7.29, curr= 21, best=16
 > iteration=164, temp=7.29, curr= 21, best=16
 > iteration=165, temp=7.29, curr= 16, best=16
 > iteration=166, temp=7.29, curr= 20, best=16
 > iteration=167, temp=7.29, curr= 20, best=16
 > iteration=168, temp=7.29, curr= 20, best=16
 > iteration=169, temp=7.29, curr= 20, best=16
 > iteration=170, temp=7.29, curr= 20, best=16
 > iteration=171, temp=7.29, curr= 20, best=16
 > iteration=172, temp=7.29, curr= 20, best=16
 > iteration=173, temp=7.29, curr= 20, best=16
 > iteration=174, temp=7.29, curr= 20, best=16
 > iteration=175, temp=7.29, curr= 16, best=16
 > iteration=176, temp=7.29, curr= 21, best=16
 > iteration=177, temp=7.29, curr= 16, best=16
 > iteration=178, temp=7.29, curr= 21, best=16
 > iteration=179, temp=7.29, curr= 21, best=16
 > iteration=180, temp=7.29, curr= 21, best=16
 > iteration=181, temp=7.29, curr= 16, best=16
 > iteration=182, temp=7.29, curr= 21, best=16
 > iteration=183, temp=7.29, curr= 16, best=16
 > iteration=184, temp=7.29, curr= 21, best=16
 > iteration=185, temp=7.29, curr= 21, best=16
 > iteration=186, temp=7.29, curr= 21, best=16
 > iteration=187, temp=7.29, curr= 16, best=16
 > iteration=188, temp=7.29, curr= 21, best=16
 > iteration=189, temp=7.29, curr= 16, best=16
 > iteration=190, temp=7.29, curr= 16, best=16
 > iteration=191, temp=7.29, curr= 21, best=16
 > iteration=192, temp=7.29, curr= 21, best=16
 > iteration=193, temp=7.29, curr= 21, best=16
 > iteration=194, temp=7.29, curr= 21, best=16
 > iteration=195, temp=7.29, curr= 16, best=16
 > iteration=196, temp=7.29, curr= 16, best=16
 > iteration=197, temp=7.29, curr= 21, best=16
 > iteration=198, temp=7.29, curr= 21, best=16
 > iteration=199, temp=7.29, curr= 21, best=16
